ID	LATITUDE	LONGITUDE	NAME
USC00200032	41.9164	-84.0158	ADRIAN 2 NNE
USC00200220	42.2875	-83.7611	ANN ARBOR 1W
USC00200228	42.2417	-83.6933	ANN ARBOR SE
USC00200230	42.2947	-83.7108	ANN ARBOR U OF MICH
USC00200842	41.84	-83.8608	BLISSFIELD 1NNE
USC00201250	42.0636	-83.4358	CARLETON 2W
USC00201502	42.3264	-84.0133	CHELSEA
USC00202308	41.9553	-83.6489	DUNDEE
USC00203712	42.4344	-83.9858	HELL
USC00205050	42.1508	-84.0236	MANCHESTER
USC00205450	42.0664	-83.6186	MILAN 4 ESE
USC00205451	42.0811	-83.6769	MILAN WWTP
USC00205563	41.9069	-83.4158	MONROE
USC00205822	41.9497	-83.28	NEWPORT 4SSE
USC00207308	42.1611	-83.7819	SALINE
USC00207312	42.1236	-83.82	SALINE 4SW
USC00207320	41.8069	-83.5831	SAMARIA
USC00208080	42.0028	-83.9336	TECUMSEH
USC00208202	42.0283	-84.1108	TIPTON 2WNW
USC00208972	42.4356	-83.7831	WHITMORE LAKE 1NW
USW00004848	41.5631	-83.4764	TOLEDO METCALF FLD
USW00014833	42.2667	-84.4667	JACKSON REYNOLDS FLD
USW00014853	42.2333	-83.5333	DETROIT WILLOW RUN AP
USW00094889	42.2228	-83.7444	ANN ARBOR MUNI AP
